Paso, Clase 1, Clase 2, Clase 3, Clase 4, Clase 5, Clase 6, Clase 7, Clase 8, Clase 9, Clase 10
38, 1466, 1680, 1368, 452, 1, 93, 516, 1212, 1432, 1780
39, 1486, 1694, 1348, 438, 1, 99, 483, 1205, 1453, 1793
40, 1496, 1645, 1385, 441, 0, 91, 504, 1214, 1434, 1790
41, 1493, 1705, 1304, 465, 0, 80, 477, 1242, 1473, 1761
42, 1520, 1692, 1302, 452, 1, 79, 486, 1220, 1442, 1806
43, 1533, 1691, 1290, 453, 0, 83, 480, 1220, 1418, 1832
44, 1523, 1657, 1347, 439, 1, 89, 497, 1196, 1433, 1818
45, 1536, 1713, 1244, 473, 1, 92, 479, 1206, 1407, 1849
46, 1548, 1689, 1263, 467, 0, 95, 488, 1185, 1402, 1863
47, 1576, 1701, 1210, 479, 1, 79, 487, 1168, 1449, 1850
48, 1555, 1700, 1259, 452, 1, 80, 488, 1153, 1488, 1824
49, 1556, 1726, 1204, 480, 1, 89, 473, 1174, 1455, 1842
50, 1585, 1678, 1252, 452, 0, 91, 488, 1137, 1436, 1881
51, 1591, 1655, 1267, 453, 1, 93, 494, 1144, 1410, 1892
52, 1614, 1647, 1250, 455, 1, 86, 453, 1214, 1385, 1895
53, 1596, 1709, 1201, 459, 2, 87, 456, 1179, 1422, 1889
54, 1613, 1714, 1203, 436, 1, 84, 462, 1146, 1418, 1923
55, 1634, 1635, 1276, 421, 1, 92, 471, 1135, 1403, 1932
56, 1652, 1686, 1189, 440, 0, 83, 462, 1129, 1408, 1951
57, 1641, 1668, 1209, 448, 1, 94, 451, 1131, 1443, 1914
58, 1665, 1680, 1184, 438, 0, 87, 459, 1124, 1389, 1974
59, 1660, 1642, 1245, 420, 0, 86, 477, 1109, 1399, 1962
60, 1667, 1669, 1207, 423, 1, 80, 480, 1059, 1478, 1936
61, 1665, 1668, 1173, 460, 1, 87, 498, 1097, 1362, 1989
62, 1659, 1662, 1175, 470, 1, 93, 467, 1119, 1415, 1939
63, 1687, 1652, 1217, 410, 1, 78, 438, 1136, 1422, 1959
64, 1684, 1659, 1218, 405, 1, 95, 407, 1135, 1443, 1953
65, 1706, 1642, 1218, 400, 1, 92, 424, 1125, 1392, 2000
66, 1705, 1641, 1194, 427, 0, 85, 416, 1169, 1384, 1979
67, 1723, 1594, 1213, 436, 1, 80, 446, 1129, 1416, 1962
68, 1722, 1618, 1202, 424, 1, 89, 433, 1116, 1411, 1984
69, 1759, 1609, 1174, 425, 0, 83, 427, 1099, 1421, 2003
70, 1755, 1572, 1240, 400, 0, 80, 450, 1087, 1408, 2008
71, 1756, 1564, 1201, 446, 0, 95, 443, 1111, 1373, 2011
72, 1751, 1589, 1193, 433, 1, 89, 430, 1129, 1374, 2011
73, 1746, 1624, 1190, 406, 1, 91, 416, 1142, 1330, 2054
74, 1745, 1615, 1183, 423, 1, 98, 429, 1089, 1397, 2020
75, 1767, 1608, 1167, 424, 1, 91, 446, 1071, 1374, 2051
76, 1749, 1618, 1199, 400, 1, 84, 416, 1121, 1394, 2018
77, 1750, 1628, 1146, 442, 1, 89, 445, 1074, 1411, 2014
78, 1756, 1588, 1192, 430, 1, 83, 437, 1112, 1399, 2002
79, 1778, 1634, 1121, 434, 0, 80, 441, 1069, 1397, 2046
80, 1801, 1606, 1129, 430, 1, 87, 460, 1046, 1338, 2102
81, 1794, 1585, 1160, 427, 1, 96, 432, 1079, 1352, 2074
82, 1812, 1597, 1145, 413, 0, 93, 399, 1078, 1401, 2062
83, 1767, 1595, 1165, 439, 1, 89, 436, 1102, 1378, 2028
84, 1799, 1568, 1169, 430, 1, 91, 447, 1073, 1349, 2073
85, 1810, 1596, 1170, 390, 1, 85, 407, 1097, 1355, 2089
86, 1779, 1621, 1144, 421, 2, 89, 420, 1088, 1388, 2048
87, 1807, 1592, 1157, 410, 1, 88, 421, 1088, 1349, 2087
88, 1867, 1535, 1153, 411, 1, 87, 389, 1106, 1351, 2100
89, 1882, 1569, 1127, 389, 0, 92, 397, 1030, 1371, 2143
90, 1898, 1555, 1106, 407, 1, 91, 390, 1086, 1286, 2180
91, 1862, 1569, 1114, 421, 1, 86, 403, 1063, 1385, 2096
92, 1907, 1571, 1080, 407, 2, 95, 415, 998, 1339, 2186
93, 1936, 1521, 1133, 377, 0, 86, 381, 1064, 1303, 2199
94, 1954, 1479, 1157, 377, 0, 90, 436, 967, 1322, 2218
95, 1954, 1516, 1100, 396, 1, 90, 377, 1041, 1335, 2190
96, 1945, 1499, 1106, 415, 2, 81, 428, 1010, 1336, 2178
97, 1930, 1502, 1146, 388, 1, 79, 409, 1031, 1357, 2157
98, 1965, 1536, 1073, 392, 1, 74, 395, 1043, 1295, 2226
99, 1956, 1523, 1080, 407, 1, 84, 435, 963, 1341, 2210
100, 1966, 1521, 1055, 423, 2, 92, 397, 1002, 1345, 2197
101, 1988, 1486, 1082, 410, 1, 82, 414, 1006, 1302, 2229
102, 1984, 1513, 1088, 381, 1, 78, 389, 1023, 1311, 2232
103, 2028, 1441, 1104, 393, 1, 81, 385, 1013, 1327, 2227
104, 2022, 1488, 1060, 396, 1, 75, 394, 992, 1334, 2238
105, 2029, 1447, 1069, 421, 1, 72, 418, 1006, 1298, 2239
106, 2028, 1506, 1046, 386, 1, 73, 404, 986, 1284, 2286
107, 2016, 1514, 1057, 378, 2, 85, 389, 980, 1303, 2276
108, 2025, 1492, 1053, 396, 1, 88, 403, 957, 1315, 2270
109, 2033, 1510, 1061, 362, 1, 82, 383, 965, 1315, 2288
110, 2032, 1526, 1042, 366, 1, 71, 385, 994, 1285, 2298
111, 2036, 1495, 1061, 375, 0, 94, 390, 965, 1266, 2318
112, 2033, 1507, 1049, 377, 1, 90, 405, 955, 1255, 2328
113, 2045, 1468, 1077, 376, 1, 88, 381, 996, 1267, 2301
114, 2033, 1489, 1054, 391, 0, 97, 375, 1011, 1235, 2315
115, 2040, 1474, 1076, 376, 1, 90, 394, 978, 1260, 2311
116, 2056, 1463, 1056, 391, 1, 86, 368, 988, 1328, 2263
117, 2065, 1453, 1043, 405, 1, 90, 376, 977, 1316, 2274
118, 2067, 1458, 1039, 402, 1, 78, 388, 972, 1326, 2269
119, 2070, 1458, 1039, 400, 0, 77, 375, 1006, 1291, 2284
120, 2052, 1456, 1050, 408, 1, 83, 387, 996, 1299, 2268
121, 2079, 1479, 1014, 393, 2, 82, 362, 988, 1304, 2297
122, 2076, 1465, 1038, 385, 3, 77, 406, 960, 1262, 2328
123, 2090, 1468, 1034, 374, 1, 88, 376, 952, 1278, 2339
124, 2083, 1491, 1015, 377, 1, 87, 373, 955, 1279, 2339
125, 2096, 1470, 1016, 384, 1, 88, 389, 946, 1247, 2363
126, 2097, 1451, 1050, 369, 0, 90, 374, 975, 1226, 2368
127, 2060, 1489, 1048, 369, 1, 95, 393, 936, 1265, 2344
128, 2068, 1469, 1064, 365, 1, 98, 370, 982, 1230, 2353
129, 2099, 1409, 1112, 347, 0, 88, 419, 909, 1247, 2370
130, 2107, 1464, 1029, 366, 1, 88, 390, 931, 1240, 2384
131, 2139, 1428, 1044, 356, 0, 82, 377, 960, 1205, 2409
132, 2147, 1442, 1023, 354, 1, 89, 375, 954, 1165, 2450
133, 2117, 1461, 1023, 365, 1, 85, 398, 930, 1212, 2408
134, 2134, 1428, 1042, 362, 1, 78, 378, 946, 1264, 2367
135, 2143, 1443, 1029, 351, 1, 81, 398, 921, 1198, 2435
136, 2146, 1471, 982, 367, 1, 82, 382, 938, 1190, 2441
137, 2112, 1482, 1010, 362, 1, 82, 360, 980, 1224, 2387
138, 2124, 1460, 1028, 354, 1, 83, 370, 955, 1230, 2395
139, 2152, 1415, 1071, 329, 0, 93, 375, 926, 1195, 2444
140, 2179, 1422, 986, 380, 0, 87, 384, 920, 1194, 2448
141, 2171, 1445, 983, 367, 1, 82, 374, 942, 1182, 2453
142, 2189, 1443, 981, 353, 1, 90, 371, 893, 1209, 2470
143, 2177, 1444, 974, 370, 2, 78, 387, 910, 1217, 2441
144, 2157, 1467, 985, 357, 1, 76, 389, 920, 1201, 2447
145, 2171, 1433, 991, 371, 1, 86, 368, 918, 1248, 2413
146, 2162, 1448, 978, 378, 1, 81, 377, 920, 1247, 2408
147, 2197, 1415, 985, 369, 1, 84, 395, 898, 1179, 2477
148, 2185, 1438, 973, 370, 1, 73, 389, 924, 1191, 2456
149, 2210, 1378, 1020, 358, 1, 72, 389, 920, 1201, 2451
150, 2196, 1403, 1027, 341, 0, 77, 370, 916, 1230, 2440
151, 2220, 1382, 1015, 350, 0, 74, 403, 877, 1203, 2476
152, 2195, 1413, 983, 375, 1, 75, 388, 904, 1236, 2430
153, 2208, 1397, 1036, 325, 1, 84, 370, 913, 1176, 2490
154, 2202, 1393, 1006, 365, 1, 76, 369, 934, 1225, 2429
155, 2189, 1451, 990, 337, 0, 77, 363, 908, 1229, 2456
156, 2175, 1432, 1021, 338, 1, 81, 385, 920, 1173, 2474
157, 2168, 1435, 1032, 331, 1, 76, 372, 923, 1230, 2432
158, 2193, 1375, 1047, 351, 1, 74, 372, 968, 1178, 2441
159, 2192, 1382, 1030, 362, 1, 71, 382, 938, 1226, 2416
160, 2221, 1441, 949, 355, 1, 71, 352, 944, 1180, 2486
161, 2238, 1374, 1000, 354, 1, 75, 361, 937, 1183, 2477
162, 2262, 1348, 1011, 344, 2, 81, 357, 927, 1161, 2507
163, 2269, 1369, 981, 347, 1, 76, 365, 906, 1165, 2521
164, 2253, 1402, 981, 330, 1, 79, 349, 913, 1169, 2523
165, 2258, 1381, 974, 353, 1, 79, 375, 882, 1187, 2510
166, 2283, 1370, 969, 344, 1, 80, 363, 885, 1165, 2540
167, 2254, 1355, 1015, 343, 0, 88, 363, 871, 1231, 2480
168, 2265, 1334, 979, 388, 1, 79, 393, 898, 1169, 2494
169, 2262, 1388, 976, 340, 1, 85, 325, 929, 1191, 2503
170, 2256, 1372, 976, 362, 1, 70, 352, 919, 1240, 2452
171, 2280, 1325, 1009, 353, 0, 73, 341, 921, 1245, 2453
172, 2284, 1333, 990, 359, 1, 74, 346, 918, 1224, 2471
173, 2328, 1293, 994, 351, 1, 78, 350, 899, 1178, 2528
174, 2303, 1277, 1025, 361, 1, 81, 340, 904, 1262, 2446
175, 2306, 1292, 991, 378, 0, 75, 355, 912, 1219, 2472
176, 2322, 1296, 987, 362, 0, 78, 345, 899, 1211, 2500
177, 2343, 1280, 971, 372, 1, 74, 340, 905, 1216, 2498
178, 2320, 1288, 998, 360, 1, 74, 356, 873, 1258, 2472
179, 2323, 1318, 967, 358, 1, 77, 344, 859, 1272, 2481
180, 2330, 1278, 974, 384, 1, 76, 376, 863, 1224, 2494
181, 2320, 1300, 976, 370, 1, 71, 340, 904, 1254, 2464
182, 2325, 1314, 959, 368, 1, 79, 349, 892, 1193, 2520
183, 2307, 1344, 941, 374, 1, 83, 354, 865, 1228, 2503
184, 2324, 1324, 968, 350, 1, 84, 338, 888, 1188, 2535
185, 2309, 1349, 961, 347, 1, 81, 339, 884, 1207, 2522
186, 2315, 1295, 999, 357, 1, 78, 348, 907, 1198, 2502
187, 2311, 1335, 945, 375, 1, 70, 333, 926, 1223, 2481
188, 2314, 1306, 959, 388, 0, 77, 371, 907, 1153, 2525
189, 2338, 1314, 992, 322, 1, 77, 318, 912, 1182, 2544
190, 2325, 1337, 931, 373, 1, 86, 344, 904, 1138, 2561
191, 2346, 1323, 938, 359, 1, 91, 347, 866, 1143, 2586
192, 2343, 1343, 911, 369, 1, 85, 345, 853, 1195, 2555
193, 2355, 1357, 913, 341, 1, 66, 337, 885, 1165, 2580
194, 2382, 1296, 942, 346, 1, 71, 356, 854, 1162, 2590
195, 2378, 1316, 939, 334, 0, 73, 341, 878, 1125, 2616
196, 2395, 1307, 919, 345, 1, 66, 361, 848, 1141, 2617
197, 2396, 1301, 916, 353, 1, 75, 333, 856, 1185, 2584
198, 2379, 1300, 919, 368, 1, 73, 360, 867, 1140, 2593
199, 2380, 1288, 945, 354, 0, 85, 365, 833, 1139, 2611
200, 2402, 1288, 927, 350, 0, 87, 325, 852, 1165, 2604
201, 2405, 1317, 887, 357, 1, 89, 317, 857, 1145, 2625
202, 2415, 1317, 913, 321, 1, 77, 346, 836, 1092, 2682
203, 2419, 1275, 933, 339, 1, 73, 337, 858, 1143, 2622
204, 2408, 1292, 928, 338, 1, 79, 325, 869, 1137, 2623
205, 2427, 1260, 941, 338, 1, 79, 330, 853, 1148, 2623
206, 2484, 1276, 875, 332, 0, 74, 302, 857, 1106, 2694
207, 2473, 1277, 883, 333, 1, 68, 325, 839, 1121, 2680
208, 2453, 1292, 917, 304, 1, 77, 318, 833, 1114, 2691
209, 2437, 1282, 905, 342, 1, 81, 326, 849, 1122, 2655
210, 2440, 1321, 878, 327, 1, 70, 308, 873, 1112, 2670
211, 2452, 1297, 912, 305, 1, 70, 329, 822, 1129, 2683
212, 2450, 1285, 900, 331, 1, 69, 320, 870, 1106, 2668
213, 2472, 1285, 888, 321, 1, 69, 312, 858, 1100, 2694
214, 2458, 1295, 886, 327, 1, 71, 329, 815, 1151, 2667
215, 2451, 1291, 878, 347, 0, 77, 312, 866, 1112, 2666
216, 2466, 1279, 895, 327, 0, 75, 316, 828, 1146, 2668
217, 2470, 1265, 899, 331, 2, 77, 332, 825, 1110, 2689
218, 2483, 1277, 878, 329, 0, 72, 306, 850, 1114, 2691
219, 
