Paso, Clase 1, Clase 2, Clase 3, Clase 4, Clase 5, Clase 6, Clase 7, Clase 8, Clase 9, Clase 10
0, 275, 1295, 1853, 1241, 303, 290, 1203, 1937, 1293, 310
1, 514, 1776, 1964, 712, 1, 115, 682, 1873, 1592, 771
2, 591, 1803, 1914, 659, 0, 99, 701, 1752, 1605, 876
3, 692, 1828, 1841, 604, 2, 88, 668, 1701, 1572, 1004
4, 745, 1849, 1800, 573, 0, 96, 648, 1608, 1624, 1057
5, 807, 1863, 1686, 611, 0, 93, 676, 1526, 1616, 1122
6, 854, 1874, 1672, 566, 1, 81, 593, 1611, 1595, 1153
7, 873, 1881, 1632, 581, 0, 90, 604, 1547, 1622, 1170
8, 956, 1795, 1633, 581, 2, 87, 611, 1504, 1623, 1208
9, 991, 1767, 1671, 537, 1, 91, 582, 1528, 1558, 1274
10, 1015, 1786, 1593, 572, 1, 87, 589, 1479, 1619, 1259
11, 1013, 1783, 1632, 537, 2, 86, 591, 1479, 1591, 1286
12, 1042, 1847, 1540, 537, 1, 91, 551, 1440, 1645, 1306
13, 1099, 1810, 1533, 524, 1, 90, 540, 1411, 1650, 1342
14, 1113, 1809, 1507, 537, 1, 95, 550, 1394, 1620, 1374
15, 1128, 1842, 1444, 552, 1, 90, 521, 1439, 1589, 1394
16, 1108, 1836, 1503, 518, 2, 100, 530, 1428, 1558, 1417
17, 1109, 1803, 1551, 503, 1, 95, 574, 1375, 1566, 1423
18, 1113, 1775, 1565, 513, 1, 91, 594, 1374, 1554, 1420
19, 1123, 1830, 1498, 516, 0, 89, 567, 1407, 1503, 1467
20, 1124, 1844, 1506, 492, 1, 98, 563, 1334, 1587, 1451
21, 1161, 1809, 1481, 515, 1, 94, 550, 1393, 1508, 1488
22, 1197, 1780, 1476, 514, 0, 82, 548, 1415, 1472, 1516
23, 1203, 1803, 1474, 485, 2, 84, 544, 1372, 1502, 1531
24, 1227, 1831, 1413, 495, 1, 83, 548, 1321, 1528, 1553
25, 1240, 1789, 1419, 519, 0, 91, 570, 1299, 1512, 1561
26, 1281, 1805, 1391, 489, 1, 85, 516, 1307, 1556, 1569
27, 1322, 1805, 1327, 513, 0, 97, 521, 1266, 1515, 1634
28, 1368, 1749, 1367, 483, 0, 89, 518, 1258, 1506, 1662
29, 1361, 1761, 1385, 459, 1, 97, 488, 1283, 1494, 1671
30, 1369, 1724, 1373, 500, 1, 96, 512, 1267, 1520, 1638
31, 1389, 1722, 1388, 468, 0, 103, 485, 1291, 1453, 1701
32, 1401, 1748, 1381, 436, 1, 89, 510, 1274, 1388, 1772
33, 1437, 1765, 1304, 461, 0, 94, 494, 1207, 1484, 1754
34, 1435, 1762, 1292, 478, 0, 94, 491, 1200, 1531, 1717
35, 1469, 1712, 1299, 486, 1, 85, 490, 1254, 1454, 1750
36, 1429, 1806, 1283, 448, 1, 82, 484, 1231, 1478, 1758
37, 1500, 1691, 1326, 449, 1, 84, 503, 1205, 1439, 1802
