2.36 0.339711 0.0366944 0.0333103 123.356 0.991959
2.35 0.343979 0.0465173 0.0428191 160.943 0.993825
2.34 0.393856 0.0402079 0.0383675 149.46 0.993354
2.33 0.343358 0.0422806 0.0395694 151.184 0.993429
2.32 0.510181 0.0336907 0.0334244 135.324 0.992665
2.31 0.570639 0.0291653 0.0298898 124.97 0.992062
2.3 0.536745 0.0309821 0.0302787 120.705 0.991783
2.29 0.578987 0.0270552 0.0279136 117.462 0.991558
2.28 0.625658 0.0276681 0.0268007 105.834 0.99064
2.27 0.609784 0.0388686 0.0398505 166.852 0.994042
2.26 0.637064 0.0340323 0.0360497 155.913 0.993627
2.25 0.600781 0.0551122 0.0583785 252.79 0.99606
2.24 0.689112 0.0363343 0.0387033 168.365 0.994096
2.23 0.736898 0.00832009 0.00948221 43.7641 0.977661
2.22 0.750464 0.00653711 0.00758409 35.5397 0.972633
2.21 0.733387 0.0228212 0.0250187 111.844 0.991138
2.2 0.788154 0.00488094 0.00588611 28.5746 0.966187
